"행정구역","2021년10월_총인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년10월_남자 인구수","2021년10월_여자 인구수","2021년10월_남여 비율"
"경상북도 김천시 남면(4715032000)","3,102","1,710","          1.81","1,589","1,513","          1.05"
"경상북도 김천시 개령면(4715034000)","2,403","1,245","          1.93","1,225","1,178","          1.04"
"경상북도 김천시 감문면(4715035000)","3,268","1,858","          1.76","1,622","1,646","          0.99"
"경상북도 김천시 어모면(4715036000)","3,985","2,085","          1.91","2,034","1,951","          1.04"
"경상북도 김천시 봉산면(4715037000)","3,079","1,580","          1.95","1,592","1,487","          1.07"
"경상북도 김천시 대항면(4715038000)","3,409","1,740","          1.96","1,734","1,675","          1.04"
"경상북도 김천시 감천면(4715039000)","1,940","983","          1.97","996","944","          1.06"
"경상북도 김천시 조마면(4715040000)","2,191","1,156","          1.90","1,099","1,092","          1.01"
"경상북도 김천시 구성면(4715041000)","2,768","1,627","          1.70","1,371","1,397","          0.98"
"경상북도 김천시 지례면(4715042000)","1,527","902","          1.69","767","760","          1.01"
"경상북도 김천시 부항면(4715043000)","1,243","744","          1.67","621","622","          1.00"
"경상북도 김천시 대덕면(4715044000)","2,286","1,426","          1.60","1,141","1,145","          1.00"
"경상북도 김천시 증산면(4715045000)","1,038","627","          1.66","502","536","          0.94"
"경상북도 김천시 자산동(4715051600)","6,554","3,655","          1.79","3,325","3,229","          1.03"
"경상북도 김천시 평화남산동(4715053600)","7,533","4,203","          1.79","3,672","3,861","          0.95"
"경상북도 김천시 양금동(4715056500)","3,879","2,024","          1.92","1,881","1,998","          0.94"
"경상북도 김천시 대신동(4715057500)","25,313","11,359","          2.23","12,577","12,736","          0.99"
"경상북도 김천시 대곡동(4715059500)","20,240","9,560","          2.12","10,118","10,122","          1.00"
"경상북도 김천시 지좌동(4715061000)","11,052","5,261","          2.10","5,623","5,429","          1.04"
"경상북도 김천시 율곡동(4715064000)","22,870","9,044","          2.53","11,476","11,394","          1.01"
"경상북도 안동시 (4717000000)","157,317","77,594","          2.03","77,812","79,505","          0.98"
"경상북도 안동시 풍산읍(4717025000)","6,369","3,540","          1.80","3,218","3,151","          1.02"
